time,prey,predator,prey_noisy,predator_noisy
44.744745,0.000137,4.522357,0.100000,4.733064
44.844845,0.000128,4.344865,0.194959,4.302268
44.944945,0.000120,4.174338,0.100000,4.091912
45.045045,0.000114,4.010504,0.100000,3.965271
45.145145,0.000109,3.853100,0.100000,3.923950
45.245245,0.000105,3.701874,0.341143,3.687253
45.345345,0.000101,3.556583,0.363158,3.501664
45.445445,0.000098,3.416994,0.100000,3.620855
45.545546,0.000096,3.282883,0.100000,3.267014
45.645646,0.000094,3.154036,0.188221,3.473559
45.745746,0.000093,3.030246,0.100000,3.042854
45.845846,0.000092,2.911314,0.100000,3.159381
45.945946,0.000091,2.797051,0.100000,2.846700
46.046046,0.000091,2.687272,0.100000,2.821073
46.146146,0.000092,2.581801,0.100000,2.481118
46.246246,0.000093,2.480470,0.100000,2.361842
46.346346,0.000094,2.383117,0.100000,2.446992
46.446446,0.000095,2.289584,0.100000,2.426941
46.546547,0.000097,2.199722,0.100000,2.205315
46.646647,0.000100,2.113387,0.100000,1.934645
46.746747,0.000102,2.030441,0.338732,1.841436
46.846847,0.000106,1.950750,0.193434,1.752452
46.946947,0.000109,1.874187,0.100000,1.628580
47.047047,0.000113,1.800629,0.100000,1.815842
47.147147,0.000118,1.729958,0.100000,1.886280
47.247247,0.000123,1.662061,0.100000,1.660197
47.347347,0.000129,1.596828,0.100000,1.282749
47.447447,0.000135,1.534157,0.108366,1.507651
47.547548,0.000142,1.473944,0.100000,1.451324
47.647648,0.000149,1.416096,0.186111,1.707330
47.747748,0.000158,1.360517,0.100000,1.158051
47.847848,0.000167,1.307120,0.100000,1.252837
47.947948,0.000177,1.255819,0.454252,1.492844
48.048048,0.000188,1.206532,0.100000,1.269055
48.148148,0.000200,1.159179,0.250727,1.237450
48.248248,0.000214,1.113685,0.100000,1.129606
48.348348,0.000228,1.069976,0.101749,1.115821
48.448448,0.000244,1.027983,0.100000,1.136030
48.548549,0.000262,0.987638,0.100000,0.875162
